age,male,time_seconds,year
48,1,10616,2015
42,1,10617,2015
28,1,10617,2015
41,1,10619,2015
42,1,10620,2015
42,1,10620,2015
30,1,10623,2015
46,1,10624,2015
53,1,10625,2015
36,1,10625,2015
33,1,10626,2015
27,1,10626,2015
42,1,10627,2015
27,1,10627,2015
35,1,10628,2015
46,1,10629,2015
45,1,10629,2015
24,1,10635,2015
51,1,10636,2015
39,1,10636,2015
29,1,10636,2015
35,1,10636,2015
32,1,10637,2015
37,1,10637,2015
44,1,10637,2015
30,1,10637,2015
43,1,10639,2015
39,1,10640,2015
45,1,10644,2015
41,1,10645,2015
28,1,10646,2015
37,1,10646,2015
33,1,10646,2015
28,1,10647,2015
26,1,10647,2015
34,1,10648,2015
30,1,10648,2015
36,1,10648,2015
42,1,10650,2015
59,1,10652,2015
37,1,10652,2015
36,1,10653,2015
28,1,10655,2015
44,1,10657,2015
30,1,10657,2015
24,1,10658,2015
35,1,10658,2015
32,0,10659,2015
25,1,10660,2015
48,1,10660,2015
38,1,10660,2015
38,1,10662,2015
40,1,10663,2015
35,1,10665,2015
39,1,10665,2015
41,1,10665,2015
30,0,10666,2015
31,1,10667,2015
41,1,10668,2015
49,1,10668,2015
28,0,10668,2015
38,1,10669,2015
38,1,10669,2015
31,1,10670,2015
44,0,10670,2015
40,1,10671,2015
36,1,10672,2015
35,0,10675,2015
31,1,10676,2015
37,1,10676,2015
43,1,10678,2015
38,1,10678,2015
28,1,10679,2015
38,1,10682,2015
33,1,10682,2015
30,0,10686,2015
40,1,10687,2015
32,1,10689,2015
25,1,10689,2015
37,1,10690,2015
30,1,10690,2015
49,1,10692,2015
31,1,10692,2015
47,1,10692,2015
24,0,10693,2015
44,1,10695,2015
48,1,10697,2015
46,1,10697,2015
42,1,10700,2015
36,1,10700,2015
29,1,10701,2015
39,1,10703,2015
31,0,10703,2015
23,1,10704,2015
44,1,10704,2015
56,1,10705,2015
44,1,10706,2015
33,0,10706,2015
30,1,10706,2015
39,1,10706,2015
28,1,10706,2015
31,1,10708,2015
31,1,10709,2015
41,1,10709,2015
42,1,10709,2015
37,1,10709,2015
47,1,10710,2015
39,1,10711,2015
45,1,10711,2015
42,1,10713,2015
44,1,10715,2015
26,0,10715,2015
50,1,10715,2015
53,1,10716,2015
50,1,10716,2015
26,1,10717,2015
37,1,10717,2015
42,1,10718,2015
46,1,10719,2015
37,1,10719,2015
36,1,10719,2015
30,1,10719,2015
23,1,10720,2015
40,1,10721,2015
40,1,10721,2015
30,1,10721,2015
34,1,10726,2015
38,1,10727,2015
37,1,10728,2015
48,1,10728,2015
39,1,10729,2015
33,1,10730,2015
32,1,10731,2015
43,1,10731,2015
30,1,10732,2015
42,1,10732,2015
28,1,10733,2015
46,1,10733,2015
40,1,10734,2015
39,1,10734,2015
29,1,10734,2015
40,1,10736,2015
36,1,10736,2015
33,1,10736,2015
34,1,10737,2015
41,1,10737,2015
43,1,10739,2015
43,1,10740,2015
49,1,10740,2015
47,1,10742,2015
37,1,10742,2015
49,1,10742,2015
42,1,10743,2015
41,1,10743,2015
49,0,10743,2015
29,1,10745,2015
48,1,10746,2015
51,1,10746,2015
48,1,10747,2015
49,1,10747,2015
36,1,10748,2015
53,1,10749,2015
39,1,10749,2015
42,1,10750,2015
24,1,10750,2015
39,1,10752,2015
42,1,10752,2015
37,1,10752,2015
27,1,10752,2015
43,1,10753,2015
30,1,10754,2015
32,1,10757,2015
29,0,10759,2015
46,0,10759,2015
31,1,10761,2015
42,1,10761,2015
29,1,10761,2015
43,1,10762,2015
42,1,10762,2015
45,1,10763,2015
32,0,10763,2015
26,0,10764,2015
27,1,10764,2015
30,1,10764,2015
28,1,10764,2015
39,0,10764,2015
31,1,10766,2015
31,1,10767,2015
40,1,10769,2015
29,1,10769,2015
37,1,10769,2015
32,1,10770,2015
41,1,10770,2015
45,1,10770,2015
39,1,10771,2015
26,1,10772,2015
30,1,10772,2015
29,1,10773,2015
34,1,10773,2015
29,0,10774,2015
34,1,10775,2015
37,1,10775,2015
39,1,10776,2015
23,1,10778,2015
26,1,10779,2015
48,1,10779,2015
36,1,10779,2015
48,1,10779,2015
40,1,10782,2015
44,1,10783,2015
37,1,10783,2015
26,1,10789,2015
48,1,10791,2015
32,1,10791,2015
31,1,10791,2015
24,1,10791,2015
41,1,10794,2015
43,1,10795,2015
41,1,10795,2015
30,1,10796,2015
45,1,10797,2015
34,1,10798,2015
31,1,10799,2015
30,1,10799,2015
31,1,10799,2015
46,1,10799,2015
47,0,10799,2015
18,1,10799,2015
25,1,10800,2015
43,1,10800,2015
36,1,10802,2015
32,1,10802,2015
50,1,10803,2015
28,1,10803,2015
53,1,10803,2015
46,1,10803,2015
42,1,10804,2015
46,1,10804,2015
51,1,10805,2015
48,1,10805,2015
24,1,10806,2015
31,1,10806,2015
44,1,10808,2015
25,0,10808,2015
39,1,10810,2015
43,1,10810,2015
45,1,10812,2015
42,1,10812,2015
40,1,10813,2015
39,1,10816,2015
52,1,10816,2015
48,1,10817,2015
51,1,10817,2015
41,1,10819,2015
25,1,10821,2015
40,1,10821,2015
43,1,10822,2015
51,1,10822,2015
41,1,10823,2015
45,1,10825,2015
27,1,10825,2015
38,0,10826,2015
41,1,10827,2015
44,1,10829,2015
41,1,10829,2015
27,0,10830,2015
40,1,10831,2015
25,1,10832,2015
44,1,10832,2015
35,1,10833,2015
28,1,10834,2015
32,1,10836,2015
42,1,10838,2015
39,1,10839,2015
47,1,10839,2015
24,1,10840,2015
48,1,10841,2015
50,1,10842,2015
30,1,10843,2015
42,1,10845,2015
24,1,10851,2015
35,1,10853,2015
44,1,10854,2015
49,1,10857,2015
32,1,10858,2015
41,1,10858,2015
38,1,10859,2015
43,1,10860,2015
31,1,10860,2015
25,1,10861,2015
42,1,10864,2015
27,1,10864,2015
44,1,10864,2015
41,1,10864,2015
32,0,10865,2015
40,1,10867,2015
48,1,10867,2015
24,1,10867,2015
27,0,10870,2015
32,1,10870,2015
29,1,10871,2015
28,1,10871,2015
56,1,10872,2015
43,1,10872,2015
35,1,10873,2015
32,1,10873,2015
45,1,10873,2015
58,1,10874,2015
40,1,10874,2015
56,1,10876,2015
48,1,10877,2015
45,1,10879,2015
43,1,10880,2015
43,1,10880,2015
44,0,10880,2015
30,1,10882,2015
33,1,10882,2015
42,1,10882,2015
29,1,10883,2015
